ENLIGHTEN Version,3.2.6
Measurement ID,,20221201-193246-189650-WP-00643,,20221201-193246-861967-WP-00643,,20221201-193247-781240-WP-00643,,20221201-193248-437655-WP-00643,,20221201-193249-133565-WP-00643,,20221201-193249-909787-WP-00643,,20221201-193250-613682-WP-00643,,20221201-193251-421652-WP-00643,,20221201-193252-469675-WP-00643,,20221201-193253-332621-WP-00643,,20221201-193254-341134-WP-00643,,20221201-193255-428959-WP-00643,,20221201-193256-695515-WP-00643,,20221201-193257-710117-WP-00643,,20221201-193258-452986-WP-00643,,20221201-193259-573634-WP-00643,,20221201-193300-853812-WP-00643,,20221201-193301-917627-WP-00643,,20221201-193302-677982-WP-00643,,20221201-193303-356596-WP-00643,,20221201-193304-181631-WP-00643,,20221201-193305-116945-WP-00643,,20221201-193305-981672-WP-00643,,20221201-193306-923667-WP-00643,,20221201-193309-605585-WP-00643,,20221201-193310-365795-WP-00643,,20221201-193311-574293-WP-00643,,20221201-193312-492991-WP-00643,,20221201-193313-293571-WP-00643,,20221201-193314-430143-WP-00643,,20221201-193315-437580-WP-00643,,20221201-193316-210372-WP-00643,,20221201-193317-509384-WP-00643,,20221201-193318-261773-WP-00643,,20221201-193319-433705-WP-00643,,20221201-193320-661354-WP-00643,,20221201-193321-773496-WP-00643,,20221201-193323-045556-WP-00643,,20221201-193323-767339-WP-00643,,20221201-193324-763170-WP-00643,,20221201-193325-628785-WP-00643,,20221201-193326-605514-WP-00643,,20221201-193327-475610-WP-00643,,20221201-193328-285616-WP-00643,,20221201-193329-181495-WP-00643,,20221201-193330-044505-WP-00643,,20221201-193333-013035-WP-00643,,20221201-193334-293069-WP-00643,,20221201-193335-189833-WP-00643,,20221201-193336-141822-WP-00643,,20221201-193337-349707-WP-00643,,20221201-193338-444460-WP-00643,,20221201-193339-198310-WP-00643,,20221201-193340-214967-WP-00643,,20221201-193341-085484-WP-00643,,20221201-193341-917794-WP-00643,,20221201-193343-254824-WP-00643,,20221201-193345-117469-WP-00643,,20221201-193347-525798-WP-00643,,20221201-193348-213804-WP-00643,
Laser Power mW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW Version,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,,10.0.0.7,
FPGA Version,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,,028-007,
Integration Time,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,,1000,
Timestamp,,2022-12-01 19:32:46.189650,,2022-12-01 19:32:46.861967,,2022-12-01 19:32:47.781240,,2022-12-01 19:32:48.437655,,2022-12-01 19:32:49.133565,,2022-12-01 19:32:49.909787,,2022-12-01 19:32:50.613682,,2022-12-01 19:32:51.421652,,2022-12-01 19:32:52.469675,,2022-12-01 19:32:53.332621,,2022-12-01 19:32:54.341134,,2022-12-01 19:32:55.428959,,2022-12-01 19:32:56.695515,,2022-12-01 19:32:57.710117,,2022-12-01 19:32:58.452986,,2022-12-01 19:32:59.573634,,2022-12-01 19:33:00.853812,,2022-12-01 19:33:01.917627,,2022-12-01 19:33:02.677982,,2022-12-01 19:33:03.356596,,2022-12-01 19:33:04.181631,,2022-12-01 19:33:05.116945,,2022-12-01 19:33:05.981672,,2022-12-01 19:33:06.923667,,2022-12-01 19:33:09.605585,,2022-12-01 19:33:10.365795,,2022-12-01 19:33:11.574293,,2022-12-01 19:33:12.492991,,2022-12-01 19:33:13.293571,,2022-12-01 19:33:14.430143,,2022-12-01 19:33:15.437580,,2022-12-01 19:33:16.210372,,2022-12-01 19:33:17.509384,,2022-12-01 19:33:18.261773,,2022-12-01 19:33:19.433705,,2022-12-01 19:33:20.661354,,2022-12-01 19:33:21.773496,,2022-12-01 19:33:23.045556,,2022-12-01 19:33:23.767339,,2022-12-01 19:33:24.763170,,2022-12-01 19:33:25.628785,,2022-12-01 19:33:26.605514,,2022-12-01 19:33:27.475610,,2022-12-01 19:33:28.285616,,2022-12-01 19:33:29.181495,,2022-12-01 19:33:30.044505,,2022-12-01 19:33:33.013035,,2022-12-01 19:33:34.293069,,2022-12-01 19:33:35.189833,,2022-12-01 19:33:36.141822,,2022-12-01 19:33:37.349707,,2022-12-01 19:33:38.444460,,2022-12-01 19:33:39.198310,,2022-12-01 19:33:40.214967,,2022-12-01 19:33:41.085484,,2022-12-01 19:33:41.917794,,2022-12-01 19:33:43.254824,,2022-12-01 19:33:45.117469,,2022-12-01 19:33:47.525798,,2022-12-01 19:33:48.213804,
Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,,10.02788583696173,,10.02788583696173,,10.010850297268917,,10.010850297268917,,10.010850297268917,,10.02788583696173,,10.044919776654524,,10.044919776654524,,10.02788583696173,,10.02788583696173,,10.02788583696173,,10.044919776654524,,10.02788583696173,,10.010850297268917,,10.02788583696173,,10.010850297268917,,10.010850297268917,,10.0619521163473,,10.044919776654524,,10.044919776654524,,10.010850297268917,,10.02788583696173,,10.044919776654524,,10.044919776654524,,10.0619521163473,,9.993813157576085,,10.010850297268917,,10.044919776654524,,10.010850297268917,,10.044919776654524,,10.010850297268917,,10.02788583696173,,10.02788583696173,,10.02788583696173,,10.044919776654524,,10.02788583696173,,10.02788583696173,,10.010850297268917,,10.02788583696173,,10.02788583696173,,10.02788583696173,,10.044919776654524,,10.010850297268917,,10.044919776654524,,10.02788583696173,,10.02788583696173,,10.02788583696173,,10.044919776654524,,10.02788583696173,,10.010850297268917,,10.02788583696173,,10.044919776654524,,10.02788583696173,,10.02788583696173,,10.044919776654524,,10.044919776654524,,10.010850297268917,,10.02788583696173,,10.0619521163473,,10.0619521163473,
CCD C0,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,,801.6218872070312,
CCD C1,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,,0.14136843383312225,
